BJD,AIRMASS,SKY,TFLUX,CFLUX1,CFLUX2,CFLUX3,CFLUX4,CFLUX5
   8999.897568, 1.699,   339.0,     84477.7,    249708.8,    238808.9,    171598.2,    220538.2,     99144.9
   8999.899243, 1.706,   338.0,     88407.4,    264468.1,    255047.5,    181107.7,    232663.9,    103968.2
   8999.900918, 1.712,   337.0,     90654.1,    264106.6,    261683.6,    185229.6,    240256.4,    108060.6
   8999.902595, 1.718,   333.0,     85445.2,    253072.4,    244718.3,    173784.2,    226038.0,    100243.3
   8999.904273, 1.725,   330.0,     91646.9,    273670.7,    264910.6,    186503.5,    243482.9,    109658.5
   8999.905949, 1.731,   334.0,     89408.8,    262256.2,    253444.9,    178916.1,    233289.2,    104843.7
   8999.907623, 1.737,   339.0,     87790.6,    258185.0,    251487.3,    175709.7,    230484.5,    103450.5
   8999.913244, 1.760,   349.0,     83616.3,    243601.0,    237205.6,    168813.9,    216312.9,     97787.3
   8999.914919, 1.767,   350.0,     87345.0,    255861.3,    245083.4,    175994.2,    228500.4,    102724.0
   8999.916593, 1.774,   349.0,     88237.5,    259587.7,    251934.5,    176773.4,    229993.4,    103914.5
   8999.918268, 1.781,   349.0,     88097.6,    258894.4,    252887.4,    180109.0,    233588.5,    105010.4
   8999.919943, 1.788,   356.0,     89340.7,    261791.8,    251443.7,    180003.8,    234248.1,    104978.3
   8999.921618, 1.795,   344.0,     89804.4,    265445.9,    256472.7,    181240.3,    236767.5,    106353.3
   8999.923293, 1.802,   343.0,     91453.7,    268407.0,    263205.1,    184460.5,    241959.8,    109224.4
   8999.924967, 1.810,   348.0,     91275.6,    271900.4,    262865.4,    187242.7,    241550.0,    108063.4
   8999.926642, 1.817,   351.0,     94354.0,    280910.1,    271153.5,    191981.7,    250971.1,    113300.2
   8999.928317, 1.824,   355.0,     89367.0,    266452.2,    258279.7,    183315.0,    236688.2,    105763.9
   8999.929993, 1.832,   353.0,     88671.7,    263602.1,    256373.2,    181200.6,    235490.1,    106071.2
   8999.931668, 1.840,   352.0,     90749.5,    270282.1,    261140.3,    183130.4,    237720.2,    107768.9
   8999.933343, 1.847,   349.0,     85765.3,    255698.6,    248335.6,    173480.5,    227621.2,    103372.8
   8999.935018, 1.855,   354.0,     86150.0,    258722.4,    248850.1,    175207.4,    228206.3,    102545.8
   8999.936694, 1.863,   361.0,     82780.8,    243738.8,    235684.6,    167805.8,    218802.7,     96270.2
   8999.938369, 1.871,   364.0,     80578.4,    237436.2,    227446.8,    164625.5,    214044.5,     94977.1
   8999.940045, 1.879,   364.0,     79325.0,    231839.6,    226241.5,    160269.5,    206602.3,     93262.6
   8999.941722, 1.887,   362.0,     80977.4,    242464.5,    234942.9,    166820.7,    216155.5,     97251.7
   8999.943397, 1.895,   360.0,     82670.7,    247469.8,    239170.0,    170161.4,    219425.2,     98881.1
   9002.475799, 1.898,   385.0,     86515.6,    241488.8,    234641.8,    165029.5,    214880.8,     97280.3
   9002.477474, 1.890,   392.0,     84113.2,    229903.5,    225672.0,    159265.9,    209463.9,     93907.5
   9002.479149, 1.882,   390.0,    101105.8,    282093.6,    273420.2,    192299.9,    252267.0,    112752.4
   9002.480824, 1.874,   390.0,    100859.3,    278867.4,    268310.2,    190409.2,    249574.6,    112382.0
   9002.482498, 1.866,   399.0,     96052.6,    267381.5,    257007.3,    181803.8,    239137.0,    105767.9
   9002.484176, 1.858,   402.0,    100153.4,    277961.3,    269653.8,    188224.2,    246621.9,    111710.6
