STARNR FLUX FLUXERR
1 169136.10934448242 456.3950029438953
2 21471.615094184875 234.44306825692917
3 17382.19890022278 228.2639910200578
4 14308.169791221619 225.11935336388154
5 nan nan
6 nan nan
7 7147.237489700317 197.10272114122225
8 30746.39247894287 294.9592727931416
9 nan nan
10 8702.934997558594 202.2374794836757
11 24635.39524936676 269.01686187280774
12 nan nan
13 282771.223236084 568.4871815064165
14 4360.092739105225 162.01586525548177
15 11936.31889629364 204.04110048493482
16 11586.754999160767 208.45041972644444
17 nan nan
18 6133.726893424988 187.13584832781268
19 37369.40480995178 270.8725899385373
20 40497.40174865723 283.63893352124603
21 22531.13014125824 248.31122169962526
22 76318.59529685974 353.9647973332372
23 105605.59034252167 380.52144108238247
24 16007.101303100586 241.4089991895061
25 nan nan
26 nan nan
27 nan nan
28 8313.888016700745 200.35737919804424
29 nan nan
30 27382.138569831848 256.1360930036817
31 23077.132348060608 239.80566332876873
32 nan nan
33 9608.227188110352 206.0158651779447
34 27469.919067382812 254.6507609636317
35 nan nan
36 nan nan
37 277911.91233062744 564.55241194654
38 2743062.63571167 1669.9307084561688
39 nan nan
40 nan nan
41 nan nan
42 nan nan
43 nan nan
44 nan nan
45 125339.88103199005 407.09500502555943
46 2946.387626647949 124.86294550940804
47 16498.069024086 232.21886705999563
48 nan nan
49 51913.569915771484 306.7987639910831
50 39864.224016189575 286.36312961495
51 21164.195377349854 249.8324669213654
52 1367111.1072387695 1188.3389515712304
53 5612.61381816864 183.10384855533192
54 39075.17574214935 278.9167692809025
55 43043.84568786621 283.27028361838063
56 nan nan
57 1218841.7537078857 1122.9689319487838
58 7792.030722618103 200.48262111279274
59 98328.49824905396 374.17212676643027
60 nan nan
61 49484.940709114075 310.23889683137287
62 nan nan
63 70890.22163677216 336.1872196398458
64 6439.525169372559 196.74161880072262
65 103483.75985336304 379.0393711867779
66 16021.695275306702 229.96720347225943
67 115997.98628616333 394.72729241335287
68 30884.268887519836 265.72666929221145
69 3723.7047262191772 152.45572728865116
70 10097.018284797668 213.42997800382136
71 nan nan
72 21086.249835968018 246.10999775853094
73 nan nan
74 nan nan
75 57373.75621700287 312.7198912400637
76 60093.94439792633 335.06511876912134
77 589072.7383117676 799.715308879571
78 85036.67490196228 353.9189014213061
79 nan nan
80 nan nan
81 35832.124855041504 271.0631891953861
82 3342.374690055847 138.06219543174765
83 4444.937211990356 165.626776240199
84 nan nan
85 140571.77893829346 429.34378235898254
86 22103.089940071106 248.58463926757676
87 nan nan
88 nan nan
89 353060.358253479 627.0375979708904
90 8576.980328559875 205.06029612790766
91 3453.6133728027344 147.17457031995966
92 7744.605665206909 199.7454694155351
93 3053.2044525146484 133.09460896064576
94 nan nan
95 19588.695426940918 227.7284518871537
96 nan nan
97 4105.931794166565 160.54300736198257
98 3043.8101558685303 136.17793620589077
99 8282.551245689392 209.59117433152096
100 nan nan
101 13305.520984649658 230.29810415589947
102 5668.356892585754 180.62858388968553
103 21848.422057151794 254.11218955216967
104 nan nan
105 nan nan
106 14135.262476921082 226.76920532520654
107 3327.051321029663 143.3862542122978
108 5385.636929512024 179.7549468461993
109 nan nan
110 nan nan
111 36089.54897785187 273.54351758909337
112 nan nan
113 47124.41022109985 289.92031136422355
114 808445.8222465515 922.8834886094635
115 143651.5465068817 426.0228701796861
116 nan nan
117 nan nan
118 nan nan
119 22153.476187705994 242.05762017982738
120 30767.451223373413 259.3168299734807
121 40791.226011276245 282.07209731412803
122 113957.77341842651 391.828914793201
123 5830.030324935913 183.72967217557468
124 nan nan
125 nan nan
126 nan nan
127 8135.918493270874 192.55154451173266
128 3112.369306564331 137.67080713346525
129 nan nan
130 5622.794758796692 172.9780886230298
131 3522.9090642929077 143.22756168460364
132 25539.498120307922 259.16836659731536
133 nan nan
134 5331.6027545928955 183.8415516733733
135 nan nan
136 nan nan
137 16278.458410263062 229.5873095251724
138 30101.994771003723 263.9231159501049
139 nan nan
140 82919.38945007324 349.6836130861966
141 4576.464295387268 166.78360623544188
142 nan nan
143 nan nan
144 nan nan
145 9718.295910835266 217.91535061304515
146 25615.92925453186 249.11161349439973
147 6685.362022399902 196.67945010885933
148 10853.247890472412 210.08322092204835
149 nan nan
150 6428.073169708252 184.20942104489873
151 20384.37464237213 249.4737667136974
152 35744.66313266754 270.0495016708254
153 nan nan
154 67493.55631923676 329.2100067353641
155 nan nan
156 nan nan
157 15627.295800209045 225.7045851488903
158 nan nan
159 9090.487480163574 217.86104086861639
160 19406.249928474426 234.74630537771787
161 3603.599317550659 143.12220109759872
