STARNR FLUX FLUXERR
1 91582.53059768677 374.49600231853407
2 22310.319712638855 259.1587632261058
3 nan nan
4 17534.356245040894 241.30191914743367
5 nan nan
6 nan nan
7 9565.962957382202 222.70146709690314
8 37452.17142009735 342.11473463921
9 nan nan
10 7841.141288757324 212.53751401191678
11 26899.734349250793 267.57867774806044
12 nan nan
13 387103.99185943604 660.1772544041986
14 nan nan
15 15282.521971702576 240.43382975526487
16 14989.846698760986 239.35053445673893
17 nan nan
18 8230.564335823059 216.5398540067405
19 31081.543209075928 270.56974909309076
20 41176.27167701721 298.07866877773046
21 26063.12055492401 269.6442135759231
22 93998.3671092987 386.32600768524475
23 112279.33320426941 399.56911852191405
24 9966.70101737976 236.69368549460975
25 nan nan
26 nan nan
27 nan nan
28 6357.8079652786255 194.1772063356746
29 nan nan
30 27858.397696495056 264.09887713446744
31 28479.48096847534 269.6509846920267
32 nan nan
33 9459.865026473999 219.65089060678594
34 31217.040333747864 278.62044933191675
35 nan nan
36 nan nan
37 374790.33831596375 651.9479326099682
38 2934772.231994629 1728.9311717395083
39 nan nan
40 3796.503801345825 148.71666254196552
41 nan nan
42 nan nan
43 nan nan
44 nan nan
45 124205.08656024933 416.82740296470996
46 4724.226293563843 182.59830332466038
47 18723.299834251404 246.32954435656433
48 nan nan
49 49643.97485256195 312.67906353564683
50 49950.06566429138 309.11328050955353
51 27293.674337387085 266.5353519903621
52 1458915.3072814941 1229.8297783336309
53 6868.568934440613 195.0919982547991
54 42702.59382534027 298.01216967906686
55 48666.925877571106 307.6185742342255
56 nan nan
57 996074.5932312012 1022.8624038936979
58 8773.306336402893 217.23256491353024
59 78401.89220714569 356.66186078360283
60 nan nan
61 52371.30486392975 325.43557166665073
62 nan nan
63 85655.48066616058 366.1403681380924
64 8401.962540626526 218.92476479148624
65 140087.0124759674 433.6855533972326
66 19280.45926475525 250.5670722816388
67 147804.93679618835 443.2931187930978
68 29089.069811820984 269.1819271930569
69 nan nan
70 12483.295407295227 233.54226235124594
71 nan nan
72 26505.14527130127 274.5018444867866
73 nan nan
74 nan nan
75 65426.838874816895 335.2484132016582
76 63249.126750946045 352.8301370380149
77 824919.0824012756 938.7233281436802
78 112599.08680820465 402.3657148604715
79 nan nan
80 nan nan
81 40495.652307510376 294.779531460325
82 nan nan
83 5964.702436447144 192.8005513697769
84 10729.085335731506 236.09930710680771
85 146766.08992767334 443.99446667840357
86 18018.38063621521 249.64272792866612
87 nan nan
88 nan nan
89 809987.7154998779 927.449847495675
90 nan nan
91 nan nan
92 10414.719435691833 232.58491972716322
93 nan nan
94 nan nan
95 25274.899760246277 267.1698716229799
96 nan nan
97 nan nan
98 nan nan
99 10310.113363265991 236.9186139862542
100 nan nan
101 18213.0135307312 260.74421798864125
102 7994.33447265625 213.74056816484594
103 18825.312753677368 255.0588353591804
104 nan nan
105 nan nan
106 18131.329639434814 245.068210347509
107 nan nan
108 6623.400319099426 199.16078027408795
109 3823.170018196106 140.22596491255368
110 nan nan
111 49342.92461013794 318.5215150521978
112 nan nan
113 26116.34923362732 266.06200847082994
114 1148109.8048553467 1095.7568726930053
115 144216.0870695114 439.3319576403006
116 nan nan
117 nan nan
118 nan nan
119 31701.65117263794 283.7759321151587
120 41524.71719932556 300.97448852379
121 51368.515749931335 320.31493772890985
122 132467.04332637787 424.6319880411646
123 7696.588898658752 208.84621329241187
124 nan nan
125 nan nan
126 nan nan
127 5697.0017766952515 186.95699613447337
128 nan nan
129 nan nan
130 8895.434661865234 221.63779351002708
131 nan nan
132 32249.940784454346 283.28420913589935
133 nan nan
134 nan nan
135 nan nan
136 nan nan
137 19131.59306526184 257.1700491304718
138 30117.289278030396 280.67734569868344
139 nan nan
140 111244.16251564026 396.6064507937538
141 nan nan
142 nan nan
143 nan nan
144 nan nan
145 8037.122723579407 214.0878992223634
146 30890.131728172302 269.3429877145038
147 nan nan
148 11275.686936378479 224.21465281501293
149 nan nan
150 4973.01403427124 180.6470334035138
151 22623.731713294983 262.6371220401548
152 30020.904324531555 274.07783249318095
153 nan nan
154 67033.64014148712 342.23771802600663
155 nan nan
156 nan nan
157 21355.84889793396 255.39237152930738
158 nan nan
159 10073.041388511658 230.25540518447923
160 20032.54359149933 259.2420841947172
161 4475.404049873352 160.2931535673511
