STARNR FLUX FLUXERR
1 1624.206170797348 98.58017741999387
2 nan nan
3 nan nan
4 nan nan
5 nan nan
6 nan nan
7 nan nan
8 2197.2380925416946 115.74999060744048
9 nan nan
10 nan nan
11 1840.2689068317413 97.5994636458371
12 nan nan
13 32829.64115190506 215.3060143101586
14 nan nan
15 nan nan
16 nan nan
17 nan nan
18 nan nan
19 nan nan
20 2080.167757511139 108.85599018133156
21 1789.2490272521973 95.3533495606233
22 6325.6888571977615 134.27687592248049
23 6813.676866054535 139.73321364145272
24 nan nan
25 nan nan
26 nan nan
27 nan nan
28 nan nan
29 nan nan
30 1680.4387574195862 99.83138909036167
31 2024.6932264566422 105.65624489117135
32 nan nan
33 nan nan
34 2080.502161860466 103.7326058203708
35 nan nan
36 nan nan
37 30777.968653678894 210.20269127020313
38 171322.91778182983 430.70023846253224
39 nan nan
40 nan nan
41 nan nan
42 nan nan
43 nan nan
44 nan nan
45 7060.268601179123 140.66095836109523
46 nan nan
47 nan nan
48 nan nan
49 2518.8058725595474 119.70790817728745
50 3911.2763187885284 128.82662353380928
51 2453.439222097397 112.76460859980509
52 84444.52291679382 313.3863832637738
53 nan nan
54 2963.5788353681564 122.56276767045924
55 3268.657665014267 115.96599552354705
56 nan nan
57 39006.968374967575 228.85831209322538
58 nan nan
59 2568.294343829155 112.96537373458463
60 nan nan
61 3454.2835986614227 128.16224965560605
62 nan nan
63 6044.987268209457 127.7671557438904
64 nan nan
65 11348.943490743637 156.89225500282225
66 nan nan
67 12202.53742480278 161.42534787543914
68 nan nan
69 nan nan
70 nan nan
71 nan nan
72 2041.96118247509 105.46656723363395
73 nan nan
74 nan nan
75 4547.022712469101 126.32324044734571
76 4335.974566698074 137.34891414372805
77 66299.89272212982 284.6748010811731
78 9178.759843468666 146.57671978582619
79 nan nan
80 nan nan
81 2874.144055366516 115.8203296598322
82 nan nan
83 nan nan
84 nan nan
85 8792.404479503632 154.1140861761908
86 nan nan
87 nan nan
88 nan nan
89 69302.93810415268 286.78831468077453
90 nan nan
91 nan nan
92 nan nan
93 nan nan
94 nan nan
95 1905.308201432228 101.34303167219718
96 nan nan
97 nan nan
98 nan nan
99 nan nan
100 nan nan
101 nan nan
102 nan nan
103 nan nan
104 nan nan
105 nan nan
106 nan nan
107 nan nan
108 nan nan
109 nan nan
110 nan nan
111 4046.1419919729233 126.36255850896708
112 nan nan
113 nan nan
114 91776.60335922241 326.1886682147749
115 9299.832966685295 150.35864664833122
116 nan nan
117 nan nan
118 nan nan
119 2576.352833867073 114.37812564101839
120 3522.041579604149 126.89328074180371
121 3850.903263449669 125.61972838011822
122 9293.945638418198 143.5118541008235
123 nan nan
124 nan nan
125 nan nan
126 nan nan
127 nan nan
128 nan nan
129 nan nan
130 nan nan
131 nan nan
132 2297.938237309456 111.77137548499445
133 nan nan
134 nan nan
135 nan nan
136 nan nan
137 nan nan
138 nan nan
139 nan nan
140 8946.798344612122 145.28300987354393
141 nan nan
142 nan nan
143 nan nan
144 nan nan
145 nan nan
146 2389.1683485507965 111.46664150373122
147 nan nan
148 nan nan
149 nan nan
150 nan nan
151 nan nan
152 nan nan
153 nan nan
154 3761.181785941124 129.25346843559214
155 nan nan
156 nan nan
157 nan nan
158 nan nan
159 nan nan
160 nan nan
161 nan nan
