STARNR FLUX FLUXERR
1 416414.8919830322 747.2102215804967
2 24535.944650173187 364.3437737879527
3 23814.017723575234 343.51753512162253
4 13784.163101822138 338.48136384000844
5 3975.9398087263107 260.95994079214955
6 4860.279920220375 281.72941474891405
7 7857.229420121759 341.5876772299486
8 32660.2025244236 392.28031303411166
9 nan nan
10 11741.080251902342 342.63710723717503
11 23439.352721184492 366.1600486308943
12 nan nan
13 257101.95301055908 619.4798575291027
14 11804.673980414867 338.40935191766204
15 12233.561014443636 344.29594802887465
16 12076.125627726316 317.6728681323933
17 nan nan
18 5601.36756041646 310.8932700561576
19 52315.33969159424 406.0182433140272
20 44257.03506219387 403.421384959664
21 22322.88886526227 376.97964487346763
22 66313.82595729828 426.01636090448545
23 113198.5580997467 503.9191417924544
24 33508.537743739784 410.53770840444446
25 nan nan
26 6533.024975121021 330.1305005598579
27 nan nan
28 12003.43517151475 309.8874623453612
29 nan nan
30 29772.83373245597 386.2535239839749
31 23125.833000421524 388.42502124779196
32 nan nan
33 11439.645040154457 349.1424796990064
34 27463.696602880955 352.39806503474784
35 nan nan
36 nan nan
37 260270.6449317932 620.7781648118969
38 2873056.0755004883 1788.4687679166993
39 nan nan
40 3452.9866622686386 259.77850743432316
41 12387.711475253105 348.10506221308947
42 9108.139094471931 336.10384635143134
43 4013.208594016731 282.490825456837
44 nan nan
45 157085.13744735718 522.4512819201236
46 nan nan
47 16723.007224082947 331.21625758641557
48 5557.523464810103 301.50637947279483
49 62152.86733675003 451.6699651806494
50 37972.4090641737 389.00204231883237
51 19673.465490311384 354.57608115418634
52 1434987.4797058105 1279.3408989085424
53 5443.373296827078 293.3563738819526
54 43344.370925068855 432.5002574765536
55 43961.62657903135 403.5788334599506
56 7142.883384034038 297.7696333016541
57 1580368.4445495605 1326.9933038699273
58 6928.131886500865 266.2453895993509
59 128677.48098945618 514.8921858143657
60 nan nan
61 54685.503866791725 417.3617406648587
62 nan nan
63 69264.62981832027 440.3079018151717
64 6328.259363263845 314.76901291922087
65 95281.06156682968 461.3615869532439
66 15878.699936032295 349.629644663799
67 112472.35393333435 482.03987937980816
68 38292.444097515196 415.1977800195988
69 4411.3409677147865 288.2976224390411
70 10103.263287395239 315.6089814545915
71 4682.17981544137 268.3351794951372
72 20946.117479339242 360.92967633904397
73 4450.769547754899 266.81593807719156
74 6851.871005669236 311.33042404264046
75 59779.25487470627 416.5363001214272
76 67506.67632293701 446.0323127023527
77 523140.2162322998 837.6131521553218
78 77987.03793668747 459.1660936817026
79 nan nan
80 nan nan
81 36446.00787401199 376.77489439308704
82 3895.5523622632027 278.09905360889684
83 nan nan
84 20657.151400484145 453.46898608161797
85 163208.52106499672 553.7770586623137
86 30986.19616511464 374.23130132917964
87 nan nan
88 nan nan
89 183079.28806114197 547.9883304662139
90 nan nan
91 7701.615643084049 305.35629513730424
92 8602.958632403985 364.3212366867687
93 7590.111359640956 313.0288031734635
94 nan nan
95 17548.077050447464 323.95895314115415
96 7618.369740009308 330.2564849101306
97 18865.63736075163 353.55403460192724
98 5879.290077954531 285.7047080042281
99 7301.982725858688 318.1461339139831
100 nan nan
101 11995.180087685585 331.2497918815679
102 5852.699528835714 307.834300663586
103 31115.610880970955 420.794711479344
104 nan nan
105 nan nan
106 14316.189440235496 360.3680156304845
107 8309.041371643543 311.3845861208175
108 4872.435704022646 286.4119397919212
109 nan nan
110 6556.350057289004 304.32368182629574
111 32920.63188099861 389.41277859591236
112 nan nan
113 127536.29298007488 517.1402192913363
114 699056.5751342773 916.2263838031259
115 177401.86734962463 555.7537930625557
116 nan nan
117 nan nan
118 4930.2214517742395 289.728936049331
119 18975.393348157406 336.94239744979967
120 30076.836600482464 386.52733409796883
121 40633.17192089558 424.65101006200337
122 116788.37870693207 481.4515210679803
123 5681.000594854355 289.0398262855816
124 nan nan
125 10146.888641893864 383.65512516571175
126 nan nan
127 15178.286442697048 321.6834063613208
128 3655.375907421112 265.4181450994767
129 8252.999973356724 280.1626922973033
130 4767.219043582678 268.29739686411887
131 nan nan
132 24856.830987036228 391.07020816580206
133 nan nan
134 8523.821250617504 400.06198311265626
135 nan nan
136 nan nan
137 16983.661789506674 356.6087911073135
138 37386.96264133975 415.0182829357021
139 19962.591810703278 388.12482646747833
140 76591.79850935936 448.2264718786402
141 7722.995030418038 327.82636047094945
142 nan nan
143 nan nan
144 nan nan
145 11348.503144264221 347.21418049064334
146 24891.599918544292 347.5613066459519
147 12591.035733103752 329.02822077803506
148 12152.409673091024 328.1778735302011
149 nan nan
150 9397.886541470885 325.7296419142446
151 21631.968254983425 389.3573128444227
152 50846.785235375166 396.07143751874366
153 nan nan
154 79472.63313187659 463.15080458274554
155 nan nan
156 nan nan
157 14763.01715874672 353.4525880434728
158 nan nan
159 9152.07865576446 323.29046476717343
160 21540.294451512396 342.3790343131528
161 3440.842458486557 249.83798803158794
