IMAGE NEWIMG EPOCH FILTER AIRMASS
coj1m011-fa12-20200124-0061-e91.fits.fz datared/58872.42668_ip.txt 58872.4266869 ip 1.0688004
cpt1m012-fa06-20201220-0102-e91.fits.fz datared/59204.07869_rp.txt 59204.0786975 rp 1.3331777
coj1m011-fa12-20200109-0189-e91.fits.fz datared/58857.67854_ip.txt 58857.67854 ip 1.389006
cpt1m010-fa16-20201231-0182-e91.fits.fz datared/59214.97661_ip.txt 59214.9766134 ip 1.0619108
cpt1m012-fa06-20200229-0078-e91.fits.fz datared/58908.80311_gp.txt 58908.8031156 gp 1.0408006
cpt1m012-fa06-20200907-0340-e91.fits.fz datared/59100.08284_gp.txt 59100.0828468 gp 1.3823802
coj1m011-fa12-20210111-0147-e91.fits.fz datared/59225.52947_ip.txt 59225.5294785 ip 1.000085
cpt1m013-fa14-20191227-0252-e91.fits.fz datared/58844.95134_gp.txt 58844.9513446 gp 1.0099131
lsc1m004-fa03-20191229-0264-e91.fits.fz datared/58847.27362_gp.txt 58847.2736279 gp 1.1647227
lsc1m004-fa03-20201124-0158-e91.fits.fz datared/59178.22731_rp.txt 59178.2273107 rp 1.0241345
lsc1m005-fa15-20210304-0124-e91.fits.fz datared/59278.15554_rp.txt 59278.1555446 rp 1.5378165
lsc1m004-fa03-20210102-0159-e91.fits.fz datared/59217.22736_rp.txt 59217.2273659 rp 1.0683811
coj1m011-fa12-20210121-0033-e91.fits.fz datared/59235.53127_gp.txt 59235.5312706 gp 1.0144243
cpt1m012-fa06-20191227-0061-e91.fits.fz datared/58844.79257_gp.txt 58844.7925794 gp 1.3144525
lsc1m004-fa03-20201126-0125-e91.fits.fz datared/59180.20309_rp.txt 59180.203094 rp 1.0530181
cpt1m013-fa14-20201125-0150-e91.fits.fz datared/59179.03504_gp.txt 59179.0350447 gp 1.0087337
cpt1m010-fa16-20210304-0145-e91.fits.fz datared/59277.89726_gp.txt 59277.8972618 gp 1.4806094
coj1m003-fa19-20201224-0246-e91.fits.fz datared/59207.7018_gp.txt 59207.7018088 gp 1.2765611
coj1m003-fa19-20200914-0178-e91.fits.fz datared/59106.75372_gp.txt 59106.7537232 gp 1.1575517
lsc1m004-fa03-20201103-0120-e91.fits.fz datared/59157.16821_rp.txt 59157.16821 rp 1.4956432
cpt1m010-fa16-20201111-0284-e91.fits.fz datared/59164.93736_gp.txt 59164.9373652 gp 1.2076738
cpt1m012-fa06-20201126-0090-e91.fits.fz datared/59179.84043_rp.txt 59179.8404338 rp 1.5803188
